seed,sft_acc,dpo_acc,grpo_acc,dpo_delta,grpo_delta
42,0.09765625,0.341796875,0.35546875,0.244140625,0.2578125
43,0.158203125,0.294921875,0.306640625,0.13671875,0.1484375
44,0.10546875,0.328125,0.33203125,0.22265625,0.2265625
45,0.123046875,0.24609375,0.2578125,0.123046875,0.134765625
46,0.01953125,0.3203125,0.337890625,0.30078125,0.318359375
47,0.158203125,0.201171875,0.216796875,0.04296875,0.05859375
48,0.025390625,0.306640625,0.330078125,0.28125,0.3046875
49,0.140625,0.302734375,0.306640625,0.162109375,0.166015625
50,0.140625,0.306640625,0.318359375,0.166015625,0.177734375
51,0.111328125,0.228515625,0.232421875,0.1171875,0.12109375
mean,0.1080078125,0.2876953125,0.2994140625,0.1796875,0.19140625
std,0.0470865182165119,0.04397828624042246,0.044871320058245796,0.07689460814464659,0.07941320746280968
